ID,FIR_ID,Name,DOB,Gender,Socioeconomic_Status
1,1,Guneet Krish,1956-12-12,Male,Lower-Middle
2,2,Rachana Patil,1972-03-07,Female,Upper
3,3,Bhavika Nagi,1975-12-13,Female,Lower-Middle
4,4,Girish Bhargava,1987-05-12,Male,Middle
5,5,Abdul Sengupta,2005-07-19,Male,Lower-Middle
6,6,Chandresh Batta,2000-12-18,Male,Upper-Middle
7,7,Max Munshi,1989-01-20,Male,Lower-Middle
8,8,Samar Sankaran,1977-11-04,Male,Lower
9,9,Nicholas Mitter,1961-10-28,Male,Lower
10,10,Chandran Dhaliwal,2000-11-15,Male,Lower-Middle
11,11,Panini Dua,1953-01-11,Female,Middle
12,12,Mitesh Butala,1959-07-21,Male,Lower
13,12,Ubika Cheema,1997-08-02,Female,Lower-Middle
14,13,Charita Badal,1953-07-19,Female,Middle
15,13,Fariq Krishna,1963-10-10,Male,Lower
16,14,Samaksh Wason,1964-10-11,Male,Middle
17,15,Zayan Dass,1966-03-20,Male,Middle
18,15,Yahvi Parekh,2000-04-05,Female,Lower
19,16,Sai Raj,1965-05-29,Female,Lower-Middle
20,17,Zarna Hari,1982-06-01,Female,Lower-Middle
21,17,Caleb Aggarwal,1947-01-18,Male,Middle
22,18,Ishwar Dewan,1993-05-26,Male,Lower-Middle
23,19,Eiravati Deo,2020-07-24,Female,Middle
24,20,Chandran Jaggi,1967-01-10,Other,Lower-Middle
25,21,Alexander Batra,2008-08-03,Male,Upper-Middle
26,21,Omkaar Tak,1963-01-25,Male,Lower-Middle
27,22,Girish Sheth,1962-02-25,Male,Lower-Middle
28,23,Parth Chakrabarti,1985-09-19,Male,Lower-Middle
29,24,Idika Basu,1990-08-11,Female,Middle
30,25,Ethan Varty,1999-11-24,Male,Middle
31,26,Sachi Bassi,1984-09-26,Female,Upper-Middle
32,27,Harini Gopal,1981-03-19,Female,Lower
33,28,Shaurya Parmer,1986-06-04,Male,Lower-Middle
34,29,Lekha Seshadri,1999-11-10,Female,Upper-Middle
35,30,Ansh Bajaj,1980-07-15,Male,Middle
36,31,Yashasvi Tiwari,1990-07-07,Female,Middle
37,32,Shivani Lad,1973-05-01,Female,Lower-Middle
38,33,Champak Ramachandran,1990-05-06,Male,Lower-Middle
39,34,Tanveer Desai,1975-07-21,Male,Lower-Middle
40,34,Timothy Raj,1992-11-04,Male,Lower
41,35,Kashish Borah,1973-07-28,Female,Lower-Middle
42,35,Ati Saha,1962-12-14,Female,Upper-Middle
43,36,Alka Chakrabarti,1958-10-31,Female,Middle
44,37,Sai Andra,1983-07-27,Female,Middle
45,37,Lakshit Sekhon,1956-05-17,Male,Lower-Middle
46,38,Jalsa Upadhyay,1947-10-21,Female,Lower
47,39,Nitesh Dara,1980-06-04,Male,Lower-Middle
48,40,Jason Ganguly,1984-12-25,Male,Lower-Middle
49,40,Balhaar Dara,1980-11-13,Male,Upper-Middle
50,41,Arjun Pathak,1977-04-18,Male,Upper
51,42,Thomas Dave,1978-02-11,Male,Lower-Middle
52,43,Chakradhar Rege,2010-01-29,Male,Upper-Middle
53,44,Baghyawati Narula,1975-08-16,Female,Upper-Middle
54,45,Ronith Tak,1946-08-08,Male,Lower
55,46,Saksham Wadhwa,2001-11-11,Male,Middle
56,46,Ranveer Dixit,1968-03-27,Male,Middle
57,47,Girik Dutt,2017-01-22,Male,Middle
58,47,Aadi Choudhry,2017-04-02,Male,Lower-Middle
59,48,Ganga Korpal,1996-05-15,Female,Lower-Middle
60,49,Anvi Sarkar,2014-12-09,Female,Lower-Middle
61,49,Tanay Wason,1986-02-04,Male,Lower
62,50,Watika Rout,2012-12-06,Female,Lower
63,51,Ryan Mallick,1989-08-16,Male,Lower-Middle
64,52,Wriddhish Luthra,1983-09-28,Male,Middle
65,53,Wazir Natt,1965-06-25,Male,Middle
66,54,Kala Parikh,1972-11-05,Female,Middle
67,54,William Naidu,1992-06-08,Male,Lower
68,55,Fariq Thakur,2012-01-10,Male,Lower
69,55,Vasudha Malhotra,1957-05-17,Female,Upper-Middle
70,56,Madhav Vyas,1998-01-14,Male,Lower-Middle
71,57,Tanish Sawhney,1989-07-11,Male,Lower-Middle
72,57,Daniel Tailor,2003-04-19,Male,Middle
73,58,Oliver Kapur,1982-01-15,Male,Lower
74,59,Pranav Nadkarni,1955-04-30,Male,Middle
75,60,Urmi Mukhopadhyay,1960-09-21,Female,Lower-Middle
76,61,Thomas Wagle,2003-08-14,Male,Lower-Middle
77,62,Aarna Bedi,1973-08-24,Female,Lower-Middle
78,63,Zayyan Gour,1953-11-03,Male,Lower
79,64,Rudra Handa,1950-08-29,Male,Lower-Middle
80,65,Nihal Soman,1966-08-30,Male,Lower
81,66,Logan Dhillon,1962-09-20,Male,Lower-Middle
82,67,Hritik Mody,1968-04-26,Male,Lower
83,68,Rayaan Roy,2020-11-02,Male,Middle
84,69,Yoshita Kumar,2004-11-10,Female,Lower-Middle
85,70,Benjamin Toor,1950-02-08,Male,Upper-Middle
86,71,Aayush Jani,1972-04-13,Male,Middle
87,72,Aahana Bora,1990-12-11,Female,Middle
88,72,Urvashi Khurana,1996-07-14,Female,Lower-Middle
89,73,Sudiksha Sunder,1959-09-26,Female,Lower-Middle
90,73,Nihal Lal,1982-08-19,Male,Lower-Middle
91,74,Adweta Pai,1978-11-20,Female,Lower-Middle
92,74,Shravya Baria,2005-01-25,Female,Upper-Middle
93,75,Kiaan Rau,1964-04-15,Male,Middle
94,76,Ekanta Bava,1990-10-28,Female,Lower
95,77,Siya Mistry,1954-02-08,Female,Lower
96,78,Faraj Wali,1993-01-14,Male,Lower-Middle
97,79,Tristan Dube,2013-10-06,Male,Lower-Middle
98,80,Anvi Garde,1957-03-03,Female,Lower
99,81,Oeshi Kalla,2021-05-09,Female,Lower-Middle
100,82,Aishani Tank,2007-04-28,Female,Lower-Middle
101,82,Nathaniel Dewan,1957-09-11,Male,Upper-Middle
102,83,Reyansh Gopal,2002-04-05,Male,Lower-Middle
103,84,Ikbal Prabhakar,1999-08-29,Male,Lower-Middle
104,84,Kiaan Mani,1999-05-09,Male,Upper
105,85,Udant Bains,2010-12-06,Male,Lower-Middle
106,86,Chakrika Chaudhry,2014-04-01,Female,Lower-Middle
107,87,Vasatika Subramanian,1996-07-10,Female,Upper
108,88,Bakhshi Dua,1983-04-13,Male,Lower-Middle
109,88,Chasmum Mohanty,1968-01-08,Female,Lower
110,89,Harshil Chaudhry,2003-12-25,Male,Middle
111,90,Gaurav Venkatesh,1978-10-26,Male,Lower
112,91,Vyanjana Magar,2005-06-01,Female,Lower
113,92,Teerth Palla,1997-02-23,Male,Lower-Middle
114,93,Andrew Srivastava,1948-02-01,Male,Lower-Middle
115,94,Omaja Mitter,1981-05-16,Female,Middle
116,94,Michael Kapadia,2004-04-26,Male,Lower
117,95,Xiti Chaudry,1991-04-21,Female,Lower-Middle
118,96,Gagan Dhaliwal,1945-11-24,Male,Middle
119,97,Avni Sur,2000-08-23,Female,Middle
120,98,Manthan Chowdhury,1992-08-05,Male,Upper-Middle
121,99,Pranit Sheth,2009-01-15,Male,Middle
122,100,Atharv Batta,1960-06-23,Male,Upper
123,101,Osha Krishnan,2008-06-17,Female,Lower-Middle
124,102,Ishwar Mani,1981-04-22,Male,Upper
125,102,Bimala Lala,2018-07-24,Female,Lower-Middle
126,103,Ekalinga Ghose,1993-06-30,Male,Middle
127,104,Vivaan Tella,1991-05-15,Male,Lower
128,104,Lakshmi Chawla,1975-12-02,Female,Middle
129,105,Krishna Sura,1987-08-05,Male,Lower-Middle
130,106,Shravya Walla,1990-04-14,Female,Lower-Middle
131,106,Vivaan Kala,1988-04-12,Male,Middle
132,107,Jagat Dhillon,2018-07-16,Male,Middle
133,108,Quincy Palla,2020-10-03,Male,Lower-Middle
134,108,Pooja Sunder,1986-07-23,Female,Lower-Middle
135,109,Radhika Thaker,1958-11-01,Female,Middle
136,110,Saksham Basu,1966-09-07,Male,Lower-Middle
137,110,Dhriti Hari,2001-05-30,Female,Lower-Middle
138,111,Jagdish Kala,1986-08-19,Male,Middle
139,112,Aadi Mital,1948-01-07,Male,Upper-Middle
140,113,Charan Krishnamurthy,2000-01-14,Male,Lower-Middle
141,113,Chasmum Kumar,2012-08-04,Female,Lower-Middle
142,114,Jason Mannan,1962-06-24,Male,Middle
143,115,Nathaniel Oak,1951-03-20,Male,Lower
144,116,Zaid Mander,1996-04-13,Male,Lower-Middle
145,117,Anita Das,2008-05-05,Female,Middle
146,118,Girish Rama,1959-04-02,Male,Lower-Middle
147,118,Balvan Sharma,1992-11-20,Male,Middle
148,119,Anusha Cheema,2005-03-11,Female,Middle
149,120,Rehaan Sharma,1982-03-30,Male,Upper-Middle
150,120,Wishi Sankaran,1969-10-10,Female,Upper-Middle
151,121,Nirja Chaudhari,1999-09-08,Female,Lower-Middle
152,122,Christopher Patla,1977-09-14,Male,Upper
153,123,Vamakshi Ratti,1979-07-23,Female,Lower-Middle
154,124,Hardik Sangha,2011-10-16,Male,Lower-Middle
155,125,Qarin Parekh,2017-04-14,Male,Lower-Middle
156,126,Aradhana Suresh,1953-05-26,Female,Upper-Middle
157,126,Eesha Deol,2018-03-18,Female,Upper-Middle
158,127,Lopa Chada,1974-08-11,Female,Middle
159,127,Orinder Chhabra,1971-12-02,Male,Lower
160,128,Baljiwan Magar,1971-05-03,Male,Lower-Middle
161,129,Vivaan Mukherjee,1967-12-27,Male,Middle
162,130,Mohammed Karan,2004-05-11,Male,Lower
163,131,Isaiah Murthy,2010-11-01,Male,Lower
164,132,Timothy Bhatnagar,1982-01-05,Male,Lower
165,133,Indira Apte,1952-07-20,Female,Lower-Middle
166,133,Jhalak Patla,2005-01-02,Female,Lower-Middle
167,134,Faraj Ramakrishnan,1948-12-18,Male,Lower
168,134,Pavani Golla,2002-01-10,Female,Middle
169,135,Vrishti Lalla,1954-10-31,Female,Lower
170,136,Yashica Virk,1998-08-29,Female,Lower
171,137,Charles Chakrabarti,1962-09-20,Male,Middle
172,138,Guneet Ganesan,1955-10-27,Male,Lower
173,138,Fiyaz Naidu,1967-03-09,Male,Lower-Middle
174,139,Benjamin Chokshi,2012-02-13,Male,Upper-Middle
175,140,Osha Mohan,1999-03-15,Female,Middle
176,141,Varsha Lalla,1982-09-02,Female,Upper-Middle
177,142,Quincy Kala,1970-02-24,Male,Middle
