ID,Name,DOB,Gender,Occupation,Arrest_Count
1,Advik Maharaj,1977-03-18,Male,Labourer,0
2,Ekaraj Chaudry,2006-08-06,Male,Farmer,0
3,Siddharth Balay,1962-07-29,Male,Unemployed,5
4,Ikbal Kaul,1994-12-08,Male,Labourer,1
5,Hardik Saini,1975-07-20,Male,Unknown,0
6,Liam Ahuja,1971-05-31,Male,Student,1
7,Onkar Mall,1971-02-16,Male,Mechanic,1
8,Om Chaudry,1966-11-10,Male,Mason,7
9,Chanakya Parmer,1983-12-15,Male,Unemployed,0
10,Anya Sharaf,1997-01-14,Female,Mason,6
11,Saanvi Brar,1998-02-11,Female,Vendor,0
12,Pratyush Handa,2008-06-29,Male,Auto Driver,0
13,Aradhana Kari,1980-03-28,Female,Farmer,1
14,Jackson Chaudhuri,1986-06-01,Male,Vendor,1
15,Utkarsh Patla,1971-08-13,Male,Daily Wage Worker,0
16,Peter Kadakia,2006-02-25,Male,Student,0
17,Balendra Garg,1996-11-23,Male,Mason,0
18,Finn Shere,1986-05-15,Male,Unemployed,0
19,Januja Nair,1964-05-09,Female,Mason,0
20,Anamika Mutti,1987-11-06,Female,Unknown,1
21,Bachittar Kakar,1999-02-22,Male,Security Guard,1
22,Hitesh Tata,1987-06-21,Male,Shopkeeper,1
23,Ekbal Lanka,1970-01-18,Male,Painter,1
24,Karan Sangha,2000-04-03,Male,Shopkeeper,0
25,Pratyush Kanda,1969-12-17,Male,Farmer,0
26,Chakradev Batta,1968-01-04,Male,Painter,1
27,Fariq Sami,2001-02-17,Male,Electrician,0
28,Reyansh Raj,2001-02-04,Male,Farmer,1
29,Jeremiah Apte,2006-11-03,Male,Private Employee,8
30,Kiaan Oak,1968-02-20,Male,Labourer,1
31,Urishilla Dugar,1991-06-04,Female,Student,0
32,Lekha Tella,1972-09-14,Female,Business,0
33,Manthan Tripathi,2001-12-27,Male,Student,0
34,Faraj Prakash,1971-07-17,Male,Security Guard,7
35,Ojasvi Suresh,1961-11-15,Female,Business,0
36,Radhika Mohanty,1976-11-03,Female,Driver,9
37,Kavya Brar,1966-05-17,Female,Tailor,0
38,Bakhshi Walia,1969-02-07,Male,Tailor,1
39,Vyanjana Gandhi,1978-08-02,Female,Tailor,0
40,Hitesh Zacharia,2007-06-29,Male,Mason,1
41,Nachiket Rastogi,2006-04-03,Male,Cook,0
42,Theodore Varughese,1991-04-09,Male,Private Employee,10
43,Jatin Kar,1964-11-26,Male,Auto Driver,12
44,Advaith Karpe,2000-08-03,Male,Driver,1
45,Aarush Bobal,2003-06-30,Male,Auto Driver,1
46,Ishwar Bir,1962-09-07,Male,Shopkeeper,1
47,Balendra Varkey,1976-09-28,Male,Security Guard,0
48,Xavier Kala,1997-03-29,Male,Painter,1
49,Warjas Kibe,1992-09-24,Male,Unemployed,0
50,Girish Chandra,1967-02-22,Male,Private Employee,0
51,Peter Sampath,1988-07-10,Male,Mechanic,0
52,Avi Chaudhari,1964-09-02,Male,Daily Wage Worker,0
53,Omkaar Chopra,1977-06-20,Male,Tailor,12
54,Ranveer Yadav,1991-01-28,Other,Labourer,0
55,Siddharth Goswami,1979-07-03,Male,Security Guard,1
