ID,Station_ID,FIR_Number,Date,Crime_Group,Crime_Subgroup,Latitude,Longitude,Narrative,Status
1,139,0001/2025,2025-11-10,SC/ST Atrocities,IPC 3(1)(r) SC/ST Act,12.600889,76.887298,"An incident of sc/st atrocities was reported on 10-11-2025 at Commercial Street, Mandya City. The victim Gaurangi Nadig sustained moderate injuries. Ranveer Karpe is identified as the primary suspect. The matter is being investigated under IPC Section 3(1)(r) SC/ST Act. Forensic team dispatched to the scene.",Chargesheeted
2,195,0001/2025,2025-01-16,Robbery,IPC 392,16.218718,75.711518,"On 16-01-2025, at approximately 18:15 hrs, the complainant Jeevika Varty reported that Upasna Mandal committed robbery near Agricultural Market Yard, Mudhol. The accused fled towards towards the bus stand on a bicycle. Case registered under IPC Section 392.",Closed
3,186,0001/2025,2025-03-06,Cheating & Fraud,IPC 420,15.386889,75.565633,"The complainant Neha Saha stated that on 06-03-2025 around 00:30 hrs, while at New Extension, Nargund, Harshil Brahmbhatt along with 3 unknown accomplices duped the victim through a fake scheme. The accused was armed with no weapon (verbal threat). Local witnesses identified the suspect. FIR filed under Section 420 IPC.",Chargesheeted
4,175,0001/2025,2025-03-24,Cybercrime,IPC 66C IT Act,14.76585,75.398284,"Received complaint from Dhruv Hans regarding an incident on 24-03-2025. The accused Rachit Loke allegedly committed online impersonation at Commercial Street, Haveri City during 08:30 hrs. The accused was later identified through CCTV footage from nearby petrol bunk. Charges framed under IPC 66C IT Act.",Convicted
5,80,0001/2026,2026-04-09,Theft,IPC 379,13.883828,75.585186,"The complainant Amara Chacko stated that on 09-04-2026 around 21:30 hrs, while at Railway Station Road, Shivamogga City, Peter Sama along with 3 unknown accomplices pilfered cash from the counter. The accused was armed with a country-made firearm. Local witnesses identified the suspect. FIR filed under Section 379 IPC.",Closed
6,119,0001/2025,2025-07-14,Burglary,IPC 457,14.67058,74.644484,"Received complaint from Sachi Basu regarding an incident on 14-07-2025. The accused Jeet Bali allegedly committed house-breaking at night at Railway Station Road, Joida during 16:45 hrs. The accused was armed with bare hands. The accused was later identified through CCTV footage from nearby bank branch. Charges framed under IPC 457.",Under Investigation
7,206,0001/2024,2024-11-23,Burglary,IPC 457,16.756299,77.21774,"The complainant Rushil Tiwari stated that on 23-11-2024 around 10:45 hrs, while at Agricultural Market Yard, Yadgir Rural, Vaishnavi Nigam along with 3 unknown accomplices broke into the residence. The accused was armed with no weapon (verbal threat). Local witnesses identified the suspect. FIR filed under Section 457 IPC.",Acquitted
8,76,0001/2024,2024-12-28,Kidnapping & Abduction,IPC 363,13.44807,77.035347,"Received complaint from Oscar Aggarwal regarding an incident on 28-12-2024. The accused Chandran Balay allegedly kidnapped the minor at Commercial Street, Kunigal during 11:30 hrs. The accused was armed with bare hands. The accused was later identified through CCTV footage from nearby medical store. Charges framed under IPC 363.",Closed
9,100,0001/2026,2026-04-28,Kidnapping & Abduction,IPC 363,14.540584,75.993937,"Received complaint from Anusha Panchal regarding an incident on 28-04-2026. The accused Harish Goyal allegedly unlawfully confined the complainant at Hospital Road, Davangere Rural during 08:00 hrs. The accused was armed with an iron rod. The accused was later identified through CCTV footage from nearby bank branch. Charges framed under IPC 363.",Under Investigation
10,159,0001/2025,2025-07-10,Counterfeiting,IPC 489A,11.926005,76.861186,"Received complaint from Harita Shukla regarding an incident on 10-07-2025. The accused Veer Sahota allegedly manufactured spurious currency at Industrial Area, Kollegal during 06:45 hrs. The accused was armed with a machete. The accused was later identified through CCTV footage from nearby apartment complex. Charges framed under IPC 489A.",Closed
